Star Rating,Review Text,Word Count
1,Покупателей (цензура) только в путь.,5
1,"Новые магазины отличные, старые заброшены",5
1,Продают заведомо не качественный товар,5
1,Пятерочка у метро Строгино ужасна.,5
1,"Пятерочка не выручает, а обманывает",5
1,"Не магазин, а какой-то табор.",5
1,Впечатление от посещения магазина -ОТВРАТИТКЛЬНОЕ!,5
1,Лучше сходить в другой магазин,5
1,Недостатки маркетинга и акционной политики,5
1,"Пропадают баллы, поддержка не решает",5
1,"тем, кто работает в пятерочке",5
1,Недопустимое отношение работников к работе,5
1,не хорошие люди - уУРОДЫ,5
1,Акция !Стильные ножи! Не ведитесь,5
1,Воруют баллы с карты лояльности,5
1,Пятерочка Москва врут с промокодом,5
1,Один минус перечеркивает все плюсы,5
1,Лохотрон в 5-ке с картой,5
1,"Халатное отношение к проведению ""акций""",5
1,"Впечатление, что меня пытались обмануть",5
1,Больше не хочеться посещать пятерочку,5
1,Акции сети Пятерочки - развод!,5
1,Вы что в корень [цензура],5
1,Отвратительная работа доставки и операторов,5
1,одна из самых ужасных компаний,5
1,"Обман людей, законы не соблюдают",5
1,"Худший персонал, не ходите сюда",5
1,Это потеря времени и нервов,5
1,всегда текучка и новые вакансии),5
1,"Просроченные продукты, тухлые битые яйца",5
1,Не слабо обсчитывают каждого !,5
1,Москва Карамышевская наб. Д. 58,5
1,Приложение Пятерочка доставка сайт мошенников,5
1,"Пятерочка ""выручает"": лохотронище на 5+",5
1,Наихудшее впечатление о данном предприятии,5
1,"Не выдали чек, присвоили бонусы!",5
1,"Новый магазин, все еще новое.",5
1,С каждым днём всё хуже,5
1,Порядка нет и не будет.,5
1,Ужасное грабительское отношение к покупателю.,5
1,отвратительные магазины в большинстве случаев,5
1,Раз на раз не приходится,5
1,"Отвратительные программа лояльности, сервис, обслуживание",5
1,Наплевательское отношение к своим клиентам,5
1,Не покупайте подарочные карты пятёрочка,5
1,Несоблюдение санитарных правил при пандемии.,5
1,общее впечатление на оценку три,5
1,Вчера купили кашу вместо молока,5
1,Обманывают с баллами на ДР!,5
